Query 31: i d like to find ailtrecs drbiscieng the use of sianlugr value doistomoipcen in diagtil image pircsnesog aipialpontcs iucdnle fniidng aixnopmoptiras to the oniagirl image and rrosinteg images that are scebujt to noise an aticlre on the sebcjut is h aderwns and c postteran outer procudt enixpsnoas and their uses in dtiagil image poissecrng aiecmran matiaehcamtl andrews h ptaterosn c

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.500
03  	  N  	  0.333  	  0.500
04  	  N  	  0.250  	  0.500
05  	  N  	  0.200  	  0.500
06  	  N  	  0.167  	  0.500
07  	  N  	  0.143  	  0.500
08  	  N  	  0.125  	  0.500
09  	  N  	  0.111  	  0.500
10  	  N  	  0.100  	  0.500
11  	  N  	  0.091  	  0.500
12  	  N  	  0.083  	  0.500
13  	  N  	  0.077  	  0.500
14  	  N  	  0.071  	  0.500
15  	  N  	  0.067  	  0.500
16  	  N  	  0.062  	  0.500
17  	  N  	  0.059  	  0.500
18  	  N  	  0.056  	  0.500
19  	  N  	  0.053  	  0.500
20  	  N  	  0.050  	  0.500
21  	  N  	  0.048  	  0.500
22  	  N  	  0.045  	  0.500
23  	  N  	  0.043  	  0.500
24  	  N  	  0.042  	  0.500
25  	  N  	  0.040  	  0.500
26  	  N  	  0.038  	  0.500
27  	  N  	  0.037  	  0.500
28  	  N  	  0.036  	  0.500
29  	  N  	  0.034  	  0.500
30  	  N  	  0.033  	  0.500
31  	  N  	  0.032  	  0.500
32  	  N  	  0.031  	  0.500
33  	  N  	  0.030  	  0.500
34  	  N  	  0.029  	  0.500
35  	  N  	  0.029  	  0.500
36  	  N  	  0.028  	  0.500
37  	  N  	  0.027  	  0.500
38  	  N  	  0.026  	  0.500
39  	  N  	  0.026  	  0.500
40  	  N  	  0.025  	  0.500
41  	  N  	  0.024  	  0.500
42  	  N  	  0.024  	  0.500
43  	  N  	  0.023  	  0.500
44  	  N  	  0.023  	  0.500
45  	  N  	  0.022  	  0.500
46  	  N  	  0.022  	  0.500
47  	  R  	  0.043  	  1.000
48  	  N  	  0.042  	  1.000
49  	  N  	  0.041  	  1.000
50  	  N  	  0.040  	  1.000
51  	  N  	  0.039  	  1.000
52  	  N  	  0.038  	  1.000
53  	  N  	  0.038  	  1.000
54  	  N  	  0.037  	  1.000
55  	  N  	  0.036  	  1.000
56  	  N  	  0.036  	  1.000
57  	  N  	  0.035  	  1.000
58  	  N  	  0.034  	  1.000
59  	  N  	  0.034  	  1.000
60  	  N  	  0.033  	  1.000
61  	  N  	  0.033  	  1.000
62  	  N  	  0.032  	  1.000
63  	  N  	  0.032  	  1.000
64  	  N  	  0.031  	  1.000
65  	  N  	  0.031  	  1.000
66  	  N  	  0.030  	  1.000
67  	  N  	  0.030  	  1.000
68  	  N  	  0.029  	  1.000
69  	  N  	  0.029  	  1.000
70  	  N  	  0.029  	  1.000
71  	  N  	  0.028  	  1.000
72  	  N  	  0.028  	  1.000
73  	  N  	  0.027  	  1.000
74  	  N  	  0.027  	  1.000
75  	  N  	  0.027  	  1.000
76  	  N  	  0.026  	  1.000
77  	  N  	  0.026  	  1.000
78  	  N  	  0.026  	  1.000
79  	  N  	  0.025  	  1.000
80  	  N  	  0.025  	  1.000
81  	  N  	  0.025  	  1.000
82  	  N  	  0.024  	  1.000
83  	  N  	  0.024  	  1.000
84  	  N  	  0.024  	  1.000
85  	  N  	  0.024  	  1.000
86  	  N  	  0.023  	  1.000
87  	  N  	  0.023  	  1.000
88  	  N  	  0.023  	  1.000
89  	  N  	  0.022  	  1.000
90  	  N  	  0.022  	  1.000
91  	  N  	  0.022  	  1.000
92  	  N  	  0.022  	  1.000
93  	  N  	  0.022  	  1.000
94  	  N  	  0.021  	  1.000
95  	  N  	  0.021  	  1.000
96  	  N  	  0.021  	  1.000
97  	  N  	  0.021  	  1.000
98  	  N  	  0.020  	  1.000
99  	  N  	  0.020  	  1.000
100  	  N  	  0.020  	  1.000
