Query 16: find all dtnopreiscis of file hanlindg in oiepnratg seytmss based on mlutilpe peoscsres and message passing

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.059
03  	  N  	  0.333  	  0.059
04  	  N  	  0.250  	  0.059
05  	  N  	  0.200  	  0.059
06  	  R  	  0.333  	  0.118
07  	  N  	  0.286  	  0.118
08  	  N  	  0.250  	  0.118
09  	  N  	  0.222  	  0.118
10  	  N  	  0.200  	  0.118
11  	  N  	  0.182  	  0.118
12  	  N  	  0.167  	  0.118
13  	  N  	  0.154  	  0.118
14  	  N  	  0.143  	  0.118
15  	  N  	  0.133  	  0.118
16  	  N  	  0.125  	  0.118
17  	  N  	  0.118  	  0.118
18  	  N  	  0.111  	  0.118
19  	  N  	  0.105  	  0.118
20  	  N  	  0.100  	  0.118
21  	  R  	  0.143  	  0.176
22  	  N  	  0.136  	  0.176
23  	  N  	  0.130  	  0.176
24  	  N  	  0.125  	  0.176
25  	  N  	  0.120  	  0.176
26  	  N  	  0.115  	  0.176
27  	  N  	  0.111  	  0.176
28  	  R  	  0.143  	  0.235
29  	  N  	  0.138  	  0.235
30  	  N  	  0.133  	  0.235
31  	  N  	  0.129  	  0.235
32  	  N  	  0.125  	  0.235
33  	  N  	  0.121  	  0.235
34  	  N  	  0.118  	  0.235
35  	  N  	  0.114  	  0.235
36  	  N  	  0.111  	  0.235
37  	  N  	  0.108  	  0.235
38  	  N  	  0.105  	  0.235
39  	  N  	  0.103  	  0.235
40  	  N  	  0.100  	  0.235
41  	  N  	  0.098  	  0.235
42  	  N  	  0.095  	  0.235
43  	  N  	  0.093  	  0.235
44  	  N  	  0.091  	  0.235
45  	  N  	  0.089  	  0.235
46  	  R  	  0.109  	  0.294
47  	  N  	  0.106  	  0.294
48  	  N  	  0.104  	  0.294
49  	  N  	  0.102  	  0.294
50  	  N  	  0.100  	  0.294
51  	  N  	  0.098  	  0.294
52  	  N  	  0.096  	  0.294
53  	  N  	  0.094  	  0.294
54  	  N  	  0.093  	  0.294
55  	  N  	  0.091  	  0.294
56  	  N  	  0.089  	  0.294
57  	  N  	  0.088  	  0.294
58  	  N  	  0.086  	  0.294
59  	  N  	  0.085  	  0.294
60  	  N  	  0.083  	  0.294
61  	  N  	  0.082  	  0.294
62  	  N  	  0.081  	  0.294
63  	  R  	  0.095  	  0.353
64  	  N  	  0.094  	  0.353
65  	  N  	  0.092  	  0.353
66  	  N  	  0.091  	  0.353
67  	  N  	  0.090  	  0.353
68  	  N  	  0.088  	  0.353
69  	  N  	  0.087  	  0.353
70  	  N  	  0.086  	  0.353
71  	  N  	  0.085  	  0.353
72  	  N  	  0.083  	  0.353
73  	  N  	  0.082  	  0.353
74  	  N  	  0.081  	  0.353
75  	  N  	  0.080  	  0.353
76  	  N  	  0.079  	  0.353
77  	  N  	  0.078  	  0.353
78  	  N  	  0.077  	  0.353
79  	  N  	  0.076  	  0.353
80  	  N  	  0.075  	  0.353
81  	  N  	  0.074  	  0.353
82  	  N  	  0.073  	  0.353
83  	  N  	  0.072  	  0.353
84  	  N  	  0.071  	  0.353
85  	  N  	  0.071  	  0.353
86  	  N  	  0.070  	  0.353
87  	  N  	  0.069  	  0.353
88  	  N  	  0.068  	  0.353
89  	  N  	  0.067  	  0.353
90  	  N  	  0.067  	  0.353
91  	  R  	  0.077  	  0.412
92  	  N  	  0.076  	  0.412
93  	  N  	  0.075  	  0.412
94  	  N  	  0.074  	  0.412
95  	  N  	  0.074  	  0.412
96  	  N  	  0.073  	  0.412
97  	  N  	  0.072  	  0.412
98  	  N  	  0.071  	  0.412
99  	  N  	  0.071  	  0.412
100  	  N  	  0.070  	  0.412
