Query 4: i m itenseretd in msniecmhas for cnimatuocnimg btweeen dsnjiiot pesroescs psilbosy but not eexscuvilly in a drusbtieitd evnoimnnert i would rather see dinorseictps of cotmpele mnesmchias with or wthiout imiennelaotmtps as opposed to tchoaeiertl work on the aacrtbst problem remote pdruocree calls and message passing are eaxplems of my istneters

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.083
03  	  N  	  0.333  	  0.083
04  	  R  	  0.500  	  0.167
05  	  N  	  0.400  	  0.167
06  	  N  	  0.333  	  0.167
07  	  N  	  0.286  	  0.167
08  	  N  	  0.250  	  0.167
09  	  N  	  0.222  	  0.167
10  	  N  	  0.200  	  0.167
11  	  N  	  0.182  	  0.167
12  	  N  	  0.167  	  0.167
13  	  N  	  0.154  	  0.167
14  	  N  	  0.143  	  0.167
15  	  N  	  0.133  	  0.167
16  	  N  	  0.125  	  0.167
17  	  N  	  0.118  	  0.167
18  	  N  	  0.111  	  0.167
19  	  N  	  0.105  	  0.167
20  	  N  	  0.100  	  0.167
21  	  N  	  0.095  	  0.167
22  	  N  	  0.091  	  0.167
23  	  N  	  0.087  	  0.167
24  	  N  	  0.083  	  0.167
25  	  N  	  0.080  	  0.167
26  	  N  	  0.077  	  0.167
27  	  N  	  0.074  	  0.167
28  	  N  	  0.071  	  0.167
29  	  N  	  0.069  	  0.167
30  	  N  	  0.067  	  0.167
31  	  N  	  0.065  	  0.167
32  	  N  	  0.062  	  0.167
33  	  N  	  0.061  	  0.167
34  	  N  	  0.059  	  0.167
35  	  N  	  0.057  	  0.167
36  	  N  	  0.056  	  0.167
37  	  N  	  0.054  	  0.167
38  	  N  	  0.053  	  0.167
39  	  N  	  0.051  	  0.167
40  	  N  	  0.050  	  0.167
41  	  N  	  0.049  	  0.167
42  	  N  	  0.048  	  0.167
43  	  N  	  0.047  	  0.167
44  	  N  	  0.045  	  0.167
45  	  N  	  0.044  	  0.167
46  	  N  	  0.043  	  0.167
47  	  N  	  0.043  	  0.167
48  	  N  	  0.042  	  0.167
49  	  N  	  0.041  	  0.167
50  	  N  	  0.040  	  0.167
51  	  N  	  0.039  	  0.167
52  	  N  	  0.038  	  0.167
53  	  N  	  0.038  	  0.167
54  	  N  	  0.037  	  0.167
55  	  N  	  0.036  	  0.167
56  	  N  	  0.036  	  0.167
57  	  N  	  0.035  	  0.167
58  	  R  	  0.052  	  0.250
59  	  N  	  0.051  	  0.250
60  	  N  	  0.050  	  0.250
61  	  N  	  0.049  	  0.250
62  	  N  	  0.048  	  0.250
63  	  N  	  0.048  	  0.250
64  	  N  	  0.047  	  0.250
65  	  N  	  0.046  	  0.250
66  	  N  	  0.045  	  0.250
67  	  N  	  0.045  	  0.250
68  	  N  	  0.044  	  0.250
69  	  N  	  0.043  	  0.250
70  	  N  	  0.043  	  0.250
71  	  N  	  0.042  	  0.250
72  	  N  	  0.042  	  0.250
73  	  N  	  0.041  	  0.250
74  	  N  	  0.041  	  0.250
75  	  N  	  0.040  	  0.250
76  	  N  	  0.039  	  0.250
77  	  N  	  0.039  	  0.250
78  	  N  	  0.038  	  0.250
79  	  N  	  0.038  	  0.250
80  	  N  	  0.037  	  0.250
81  	  N  	  0.037  	  0.250
82  	  N  	  0.037  	  0.250
83  	  N  	  0.036  	  0.250
84  	  N  	  0.036  	  0.250
85  	  N  	  0.035  	  0.250
86  	  N  	  0.035  	  0.250
87  	  N  	  0.034  	  0.250
88  	  N  	  0.034  	  0.250
89  	  N  	  0.034  	  0.250
90  	  N  	  0.033  	  0.250
91  	  N  	  0.033  	  0.250
92  	  N  	  0.033  	  0.250
93  	  N  	  0.032  	  0.250
94  	  N  	  0.032  	  0.250
95  	  N  	  0.032  	  0.250
96  	  N  	  0.031  	  0.250
97  	  N  	  0.031  	  0.250
98  	  N  	  0.031  	  0.250
99  	  N  	  0.030  	  0.250
100  	  N  	  0.030  	  0.250
