Query 44: texture analysis by computer digitized texture analysis texture synthesis perception of texture

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.059
02  	  R  	  1.000  	  0.118
03  	  N  	  0.667  	  0.118
04  	  N  	  0.500  	  0.118
05  	  N  	  0.400  	  0.118
06  	  N  	  0.333  	  0.118
07  	  N  	  0.286  	  0.118
08  	  N  	  0.250  	  0.118
09  	  N  	  0.222  	  0.118
10  	  N  	  0.200  	  0.118
11  	  N  	  0.182  	  0.118
12  	  N  	  0.167  	  0.118
13  	  N  	  0.154  	  0.118
14  	  R  	  0.214  	  0.176
15  	  N  	  0.200  	  0.176
16  	  N  	  0.188  	  0.176
17  	  N  	  0.176  	  0.176
18  	  N  	  0.167  	  0.176
19  	  R  	  0.211  	  0.235
20  	  N  	  0.200  	  0.235
21  	  N  	  0.190  	  0.235
22  	  N  	  0.182  	  0.235
23  	  N  	  0.174  	  0.235
24  	  N  	  0.167  	  0.235
25  	  N  	  0.160  	  0.235
26  	  N  	  0.154  	  0.235
27  	  N  	  0.148  	  0.235
28  	  N  	  0.143  	  0.235
29  	  N  	  0.138  	  0.235
30  	  N  	  0.133  	  0.235
31  	  N  	  0.129  	  0.235
32  	  N  	  0.125  	  0.235
33  	  N  	  0.121  	  0.235
34  	  N  	  0.118  	  0.235
35  	  N  	  0.114  	  0.235
36  	  N  	  0.111  	  0.235
37  	  N  	  0.108  	  0.235
38  	  N  	  0.105  	  0.235
39  	  N  	  0.103  	  0.235
40  	  N  	  0.100  	  0.235
41  	  N  	  0.098  	  0.235
42  	  N  	  0.095  	  0.235
43  	  N  	  0.093  	  0.235
44  	  R  	  0.114  	  0.294
45  	  N  	  0.111  	  0.294
46  	  N  	  0.109  	  0.294
47  	  N  	  0.106  	  0.294
48  	  N  	  0.104  	  0.294
49  	  N  	  0.102  	  0.294
50  	  N  	  0.100  	  0.294
51  	  N  	  0.098  	  0.294
52  	  N  	  0.096  	  0.294
53  	  N  	  0.094  	  0.294
54  	  N  	  0.093  	  0.294
55  	  N  	  0.091  	  0.294
56  	  N  	  0.089  	  0.294
57  	  N  	  0.088  	  0.294
58  	  N  	  0.086  	  0.294
59  	  N  	  0.085  	  0.294
60  	  N  	  0.083  	  0.294
61  	  N  	  0.082  	  0.294
62  	  N  	  0.081  	  0.294
63  	  N  	  0.079  	  0.294
64  	  N  	  0.078  	  0.294
65  	  N  	  0.077  	  0.294
66  	  N  	  0.076  	  0.294
67  	  N  	  0.075  	  0.294
68  	  N  	  0.074  	  0.294
69  	  N  	  0.072  	  0.294
70  	  N  	  0.071  	  0.294
71  	  N  	  0.070  	  0.294
72  	  N  	  0.069  	  0.294
73  	  R  	  0.082  	  0.353
74  	  N  	  0.081  	  0.353
75  	  N  	  0.080  	  0.353
76  	  N  	  0.079  	  0.353
77  	  N  	  0.078  	  0.353
78  	  N  	  0.077  	  0.353
79  	  N  	  0.076  	  0.353
80  	  N  	  0.075  	  0.353
81  	  N  	  0.074  	  0.353
82  	  N  	  0.073  	  0.353
83  	  N  	  0.072  	  0.353
84  	  N  	  0.071  	  0.353
85  	  N  	  0.071  	  0.353
86  	  N  	  0.070  	  0.353
87  	  N  	  0.069  	  0.353
88  	  N  	  0.068  	  0.353
89  	  N  	  0.067  	  0.353
90  	  N  	  0.067  	  0.353
91  	  N  	  0.066  	  0.353
92  	  N  	  0.065  	  0.353
93  	  N  	  0.065  	  0.353
94  	  N  	  0.064  	  0.353
95  	  N  	  0.063  	  0.353
96  	  N  	  0.062  	  0.353
97  	  N  	  0.062  	  0.353
98  	  N  	  0.061  	  0.353
99  	  N  	  0.061  	  0.353
100  	  N  	  0.060  	  0.353
