Query 62: results relating parallel complexity theory both for pram s and uniform circuits

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  N  	  0.000  	  0.000
17  	  N  	  0.000  	  0.000
18  	  N  	  0.000  	  0.000
19  	  N  	  0.000  	  0.000
20  	  N  	  0.000  	  0.000
21  	  N  	  0.000  	  0.000
22  	  N  	  0.000  	  0.000
23  	  N  	  0.000  	  0.000
24  	  N  	  0.000  	  0.000
25  	  N  	  0.000  	  0.000
26  	  N  	  0.000  	  0.000
27  	  N  	  0.000  	  0.000
28  	  N  	  0.000  	  0.000
29  	  N  	  0.000  	  0.000
30  	  N  	  0.000  	  0.000
31  	  N  	  0.000  	  0.000
32  	  N  	  0.000  	  0.000
33  	  N  	  0.000  	  0.000
34  	  N  	  0.000  	  0.000
35  	  N  	  0.000  	  0.000
36  	  N  	  0.000  	  0.000
37  	  N  	  0.000  	  0.000
38  	  N  	  0.000  	  0.000
39  	  N  	  0.000  	  0.000
40  	  N  	  0.000  	  0.000
41  	  N  	  0.000  	  0.000
42  	  N  	  0.000  	  0.000
43  	  N  	  0.000  	  0.000
44  	  N  	  0.000  	  0.000
45  	  N  	  0.000  	  0.000
46  	  N  	  0.000  	  0.000
47  	  N  	  0.000  	  0.000
48  	  N  	  0.000  	  0.000
49  	  N  	  0.000  	  0.000
50  	  N  	  0.000  	  0.000
51  	  N  	  0.000  	  0.000
52  	  N  	  0.000  	  0.000
53  	  N  	  0.000  	  0.000
54  	  R  	  0.019  	  0.125
55  	  N  	  0.018  	  0.125
56  	  N  	  0.018  	  0.125
57  	  N  	  0.018  	  0.125
58  	  N  	  0.017  	  0.125
59  	  N  	  0.017  	  0.125
60  	  N  	  0.017  	  0.125
61  	  N  	  0.016  	  0.125
62  	  N  	  0.016  	  0.125
63  	  N  	  0.016  	  0.125
64  	  N  	  0.016  	  0.125
65  	  N  	  0.015  	  0.125
66  	  N  	  0.015  	  0.125
67  	  N  	  0.015  	  0.125
68  	  N  	  0.015  	  0.125
69  	  R  	  0.029  	  0.250
70  	  N  	  0.029  	  0.250
71  	  N  	  0.028  	  0.250
72  	  N  	  0.028  	  0.250
73  	  N  	  0.027  	  0.250
74  	  N  	  0.027  	  0.250
75  	  N  	  0.027  	  0.250
76  	  N  	  0.026  	  0.250
77  	  N  	  0.026  	  0.250
78  	  N  	  0.026  	  0.250
79  	  N  	  0.025  	  0.250
80  	  N  	  0.025  	  0.250
81  	  N  	  0.025  	  0.250
82  	  N  	  0.024  	  0.250
83  	  N  	  0.024  	  0.250
84  	  N  	  0.024  	  0.250
85  	  N  	  0.024  	  0.250
86  	  N  	  0.023  	  0.250
87  	  N  	  0.023  	  0.250
88  	  N  	  0.023  	  0.250
89  	  N  	  0.022  	  0.250
90  	  N  	  0.022  	  0.250
91  	  N  	  0.022  	  0.250
92  	  N  	  0.022  	  0.250
93  	  N  	  0.022  	  0.250
94  	  N  	  0.021  	  0.250
95  	  N  	  0.021  	  0.250
96  	  N  	  0.021  	  0.250
97  	  N  	  0.021  	  0.250
98  	  N  	  0.020  	  0.250
99  	  N  	  0.020  	  0.250
100  	  N  	  0.020  	  0.250
