Query 49: the role of information retrieval in knowledge based systems i e expert systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  R  	  0.200  	  0.125
06  	  N  	  0.167  	  0.125
07  	  N  	  0.143  	  0.125
08  	  N  	  0.125  	  0.125
09  	  N  	  0.111  	  0.125
10  	  N  	  0.100  	  0.125
11  	  N  	  0.091  	  0.125
12  	  N  	  0.083  	  0.125
13  	  N  	  0.077  	  0.125
14  	  N  	  0.071  	  0.125
15  	  N  	  0.067  	  0.125
16  	  N  	  0.062  	  0.125
17  	  N  	  0.059  	  0.125
18  	  N  	  0.056  	  0.125
19  	  N  	  0.053  	  0.125
20  	  N  	  0.050  	  0.125
21  	  N  	  0.048  	  0.125
22  	  N  	  0.045  	  0.125
23  	  N  	  0.043  	  0.125
24  	  N  	  0.042  	  0.125
25  	  N  	  0.040  	  0.125
26  	  N  	  0.038  	  0.125
27  	  N  	  0.037  	  0.125
28  	  N  	  0.036  	  0.125
29  	  N  	  0.034  	  0.125
30  	  N  	  0.033  	  0.125
31  	  N  	  0.032  	  0.125
32  	  N  	  0.031  	  0.125
33  	  R  	  0.061  	  0.250
34  	  R  	  0.088  	  0.375
35  	  N  	  0.086  	  0.375
36  	  N  	  0.083  	  0.375
37  	  N  	  0.081  	  0.375
38  	  N  	  0.079  	  0.375
39  	  N  	  0.077  	  0.375
40  	  N  	  0.075  	  0.375
41  	  N  	  0.073  	  0.375
42  	  N  	  0.071  	  0.375
43  	  N  	  0.070  	  0.375
44  	  N  	  0.068  	  0.375
45  	  N  	  0.067  	  0.375
46  	  N  	  0.065  	  0.375
47  	  N  	  0.064  	  0.375
48  	  R  	  0.083  	  0.500
49  	  N  	  0.082  	  0.500
50  	  N  	  0.080  	  0.500
51  	  N  	  0.078  	  0.500
52  	  N  	  0.077  	  0.500
53  	  N  	  0.075  	  0.500
54  	  N  	  0.074  	  0.500
55  	  N  	  0.073  	  0.500
56  	  N  	  0.071  	  0.500
57  	  N  	  0.070  	  0.500
58  	  N  	  0.069  	  0.500
59  	  N  	  0.068  	  0.500
60  	  N  	  0.067  	  0.500
61  	  N  	  0.066  	  0.500
62  	  N  	  0.065  	  0.500
63  	  N  	  0.063  	  0.500
64  	  N  	  0.062  	  0.500
65  	  N  	  0.062  	  0.500
66  	  N  	  0.061  	  0.500
67  	  N  	  0.060  	  0.500
68  	  N  	  0.059  	  0.500
69  	  N  	  0.058  	  0.500
70  	  N  	  0.057  	  0.500
71  	  N  	  0.056  	  0.500
72  	  N  	  0.056  	  0.500
73  	  N  	  0.055  	  0.500
74  	  N  	  0.054  	  0.500
75  	  N  	  0.053  	  0.500
76  	  N  	  0.053  	  0.500
77  	  N  	  0.052  	  0.500
78  	  N  	  0.051  	  0.500
79  	  N  	  0.051  	  0.500
80  	  N  	  0.050  	  0.500
81  	  N  	  0.049  	  0.500
82  	  N  	  0.049  	  0.500
83  	  N  	  0.048  	  0.500
84  	  N  	  0.048  	  0.500
85  	  N  	  0.047  	  0.500
86  	  N  	  0.047  	  0.500
87  	  N  	  0.046  	  0.500
88  	  N  	  0.045  	  0.500
89  	  N  	  0.045  	  0.500
90  	  N  	  0.044  	  0.500
91  	  N  	  0.044  	  0.500
92  	  N  	  0.043  	  0.500
93  	  N  	  0.043  	  0.500
94  	  N  	  0.043  	  0.500
95  	  N  	  0.042  	  0.500
96  	  N  	  0.042  	  0.500
97  	  N  	  0.041  	  0.500
98  	  N  	  0.041  	  0.500
99  	  N  	  0.040  	  0.500
100  	  N  	  0.040  	  0.500
