Query 13: code optimization for space efficiency

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.091
02  	  N  	  0.500  	  0.091
03  	  N  	  0.333  	  0.091
04  	  N  	  0.250  	  0.091
05  	  R  	  0.400  	  0.182
06  	  N  	  0.333  	  0.182
07  	  R  	  0.429  	  0.273
08  	  N  	  0.375  	  0.273
09  	  R  	  0.444  	  0.364
10  	  N  	  0.400  	  0.364
11  	  N  	  0.364  	  0.364
12  	  N  	  0.333  	  0.364
13  	  N  	  0.308  	  0.364
14  	  N  	  0.286  	  0.364
15  	  N  	  0.267  	  0.364
16  	  N  	  0.250  	  0.364
17  	  N  	  0.235  	  0.364
18  	  N  	  0.222  	  0.364
19  	  N  	  0.211  	  0.364
20  	  R  	  0.250  	  0.455
21  	  N  	  0.238  	  0.455
22  	  N  	  0.227  	  0.455
23  	  N  	  0.217  	  0.455
24  	  R  	  0.250  	  0.545
25  	  N  	  0.240  	  0.545
26  	  N  	  0.231  	  0.545
27  	  N  	  0.222  	  0.545
28  	  N  	  0.214  	  0.545
29  	  N  	  0.207  	  0.545
30  	  N  	  0.200  	  0.545
31  	  N  	  0.194  	  0.545
32  	  N  	  0.188  	  0.545
33  	  N  	  0.182  	  0.545
34  	  N  	  0.176  	  0.545
35  	  N  	  0.171  	  0.545
36  	  N  	  0.167  	  0.545
37  	  N  	  0.162  	  0.545
38  	  N  	  0.158  	  0.545
39  	  N  	  0.154  	  0.545
40  	  N  	  0.150  	  0.545
41  	  N  	  0.146  	  0.545
42  	  R  	  0.167  	  0.636
43  	  N  	  0.163  	  0.636
44  	  N  	  0.159  	  0.636
45  	  N  	  0.156  	  0.636
46  	  N  	  0.152  	  0.636
47  	  N  	  0.149  	  0.636
48  	  N  	  0.146  	  0.636
49  	  N  	  0.143  	  0.636
50  	  N  	  0.140  	  0.636
51  	  N  	  0.137  	  0.636
52  	  N  	  0.135  	  0.636
53  	  N  	  0.132  	  0.636
54  	  N  	  0.130  	  0.636
55  	  N  	  0.127  	  0.636
56  	  N  	  0.125  	  0.636
57  	  N  	  0.123  	  0.636
58  	  N  	  0.121  	  0.636
59  	  N  	  0.119  	  0.636
60  	  N  	  0.117  	  0.636
61  	  N  	  0.115  	  0.636
62  	  N  	  0.113  	  0.636
63  	  N  	  0.111  	  0.636
64  	  N  	  0.109  	  0.636
65  	  N  	  0.108  	  0.636
66  	  N  	  0.106  	  0.636
67  	  N  	  0.104  	  0.636
68  	  N  	  0.103  	  0.636
69  	  N  	  0.101  	  0.636
70  	  N  	  0.100  	  0.636
71  	  N  	  0.099  	  0.636
72  	  N  	  0.097  	  0.636
73  	  N  	  0.096  	  0.636
74  	  N  	  0.095  	  0.636
75  	  N  	  0.093  	  0.636
76  	  N  	  0.092  	  0.636
77  	  N  	  0.091  	  0.636
78  	  N  	  0.090  	  0.636
79  	  N  	  0.089  	  0.636
80  	  N  	  0.087  	  0.636
81  	  N  	  0.086  	  0.636
82  	  N  	  0.085  	  0.636
83  	  N  	  0.084  	  0.636
84  	  N  	  0.083  	  0.636
85  	  N  	  0.082  	  0.636
86  	  N  	  0.081  	  0.636
87  	  N  	  0.080  	  0.636
88  	  N  	  0.080  	  0.636
89  	  N  	  0.079  	  0.636
90  	  N  	  0.078  	  0.636
91  	  N  	  0.077  	  0.636
92  	  N  	  0.076  	  0.636
93  	  N  	  0.075  	  0.636
94  	  N  	  0.074  	  0.636
95  	  N  	  0.074  	  0.636
96  	  N  	  0.073  	  0.636
97  	  N  	  0.072  	  0.636
98  	  N  	  0.071  	  0.636
99  	  N  	  0.071  	  0.636
100  	  N  	  0.070  	  0.636
