Query 42: computer performance evaluation techniques using pattern recognition and clustering la 70803

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.048
02  	  R  	  1.000  	  0.095
03  	  N  	  0.667  	  0.095
04  	  N  	  0.500  	  0.095
05  	  N  	  0.400  	  0.095
06  	  N  	  0.333  	  0.095
07  	  N  	  0.286  	  0.095
08  	  N  	  0.250  	  0.095
09  	  N  	  0.222  	  0.095
10  	  N  	  0.200  	  0.095
11  	  N  	  0.182  	  0.095
12  	  N  	  0.167  	  0.095
13  	  N  	  0.154  	  0.095
14  	  N  	  0.143  	  0.095
15  	  N  	  0.133  	  0.095
16  	  N  	  0.125  	  0.095
17  	  N  	  0.118  	  0.095
18  	  N  	  0.111  	  0.095
19  	  N  	  0.105  	  0.095
20  	  N  	  0.100  	  0.095
21  	  N  	  0.095  	  0.095
22  	  N  	  0.091  	  0.095
23  	  R  	  0.130  	  0.143
24  	  N  	  0.125  	  0.143
25  	  N  	  0.120  	  0.143
26  	  N  	  0.115  	  0.143
27  	  N  	  0.111  	  0.143
28  	  N  	  0.107  	  0.143
29  	  N  	  0.103  	  0.143
30  	  N  	  0.100  	  0.143
31  	  N  	  0.097  	  0.143
32  	  N  	  0.094  	  0.143
33  	  N  	  0.091  	  0.143
34  	  N  	  0.088  	  0.143
35  	  N  	  0.086  	  0.143
36  	  N  	  0.083  	  0.143
37  	  N  	  0.081  	  0.143
38  	  N  	  0.079  	  0.143
39  	  N  	  0.077  	  0.143
40  	  N  	  0.075  	  0.143
41  	  N  	  0.073  	  0.143
42  	  N  	  0.071  	  0.143
43  	  N  	  0.070  	  0.143
44  	  N  	  0.068  	  0.143
45  	  N  	  0.067  	  0.143
46  	  N  	  0.065  	  0.143
47  	  N  	  0.064  	  0.143
48  	  N  	  0.062  	  0.143
49  	  N  	  0.061  	  0.143
50  	  N  	  0.060  	  0.143
51  	  N  	  0.059  	  0.143
52  	  N  	  0.058  	  0.143
53  	  N  	  0.057  	  0.143
54  	  N  	  0.056  	  0.143
55  	  N  	  0.055  	  0.143
56  	  N  	  0.054  	  0.143
57  	  N  	  0.053  	  0.143
58  	  N  	  0.052  	  0.143
59  	  N  	  0.051  	  0.143
60  	  N  	  0.050  	  0.143
61  	  N  	  0.049  	  0.143
62  	  N  	  0.048  	  0.143
63  	  N  	  0.048  	  0.143
64  	  N  	  0.047  	  0.143
65  	  N  	  0.046  	  0.143
66  	  N  	  0.045  	  0.143
67  	  N  	  0.045  	  0.143
68  	  N  	  0.044  	  0.143
69  	  N  	  0.043  	  0.143
70  	  N  	  0.043  	  0.143
71  	  N  	  0.042  	  0.143
72  	  N  	  0.042  	  0.143
73  	  N  	  0.041  	  0.143
74  	  N  	  0.041  	  0.143
75  	  N  	  0.040  	  0.143
76  	  N  	  0.039  	  0.143
77  	  N  	  0.039  	  0.143
78  	  N  	  0.038  	  0.143
79  	  N  	  0.038  	  0.143
80  	  N  	  0.037  	  0.143
81  	  N  	  0.037  	  0.143
82  	  N  	  0.037  	  0.143
83  	  N  	  0.036  	  0.143
84  	  N  	  0.036  	  0.143
85  	  N  	  0.035  	  0.143
86  	  N  	  0.035  	  0.143
87  	  N  	  0.034  	  0.143
88  	  N  	  0.034  	  0.143
89  	  N  	  0.034  	  0.143
90  	  N  	  0.033  	  0.143
91  	  N  	  0.033  	  0.143
92  	  N  	  0.033  	  0.143
93  	  N  	  0.032  	  0.143
94  	  N  	  0.032  	  0.143
95  	  N  	  0.032  	  0.143
96  	  N  	  0.031  	  0.143
97  	  N  	  0.031  	  0.143
98  	  N  	  0.031  	  0.143
99  	  N  	  0.030  	  0.143
100  	  N  	  0.030  	  0.143
