Query 18: languages and compilers for parallel processors especially highly horizontal microcoded machines code compaction

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  R  	  0.143  	  0.091
08  	  N  	  0.125  	  0.091
09  	  N  	  0.111  	  0.091
10  	  N  	  0.100  	  0.091
11  	  R  	  0.182  	  0.182
12  	  N  	  0.167  	  0.182
13  	  R  	  0.231  	  0.273
14  	  N  	  0.214  	  0.273
15  	  N  	  0.200  	  0.273
16  	  N  	  0.188  	  0.273
17  	  N  	  0.176  	  0.273
18  	  N  	  0.167  	  0.273
19  	  N  	  0.158  	  0.273
20  	  N  	  0.150  	  0.273
21  	  N  	  0.143  	  0.273
22  	  N  	  0.136  	  0.273
23  	  N  	  0.130  	  0.273
24  	  N  	  0.125  	  0.273
25  	  N  	  0.120  	  0.273
26  	  N  	  0.115  	  0.273
27  	  N  	  0.111  	  0.273
28  	  N  	  0.107  	  0.273
29  	  N  	  0.103  	  0.273
30  	  N  	  0.100  	  0.273
31  	  N  	  0.097  	  0.273
32  	  N  	  0.094  	  0.273
33  	  N  	  0.091  	  0.273
34  	  N  	  0.088  	  0.273
35  	  N  	  0.086  	  0.273
36  	  N  	  0.083  	  0.273
37  	  N  	  0.081  	  0.273
38  	  N  	  0.079  	  0.273
39  	  N  	  0.077  	  0.273
40  	  N  	  0.075  	  0.273
41  	  N  	  0.073  	  0.273
42  	  N  	  0.071  	  0.273
43  	  N  	  0.070  	  0.273
44  	  N  	  0.068  	  0.273
45  	  N  	  0.067  	  0.273
46  	  N  	  0.065  	  0.273
47  	  N  	  0.064  	  0.273
48  	  N  	  0.062  	  0.273
49  	  N  	  0.061  	  0.273
50  	  N  	  0.060  	  0.273
51  	  N  	  0.059  	  0.273
52  	  R  	  0.077  	  0.364
53  	  N  	  0.075  	  0.364
54  	  N  	  0.074  	  0.364
55  	  N  	  0.073  	  0.364
56  	  N  	  0.071  	  0.364
57  	  N  	  0.070  	  0.364
58  	  N  	  0.069  	  0.364
59  	  N  	  0.068  	  0.364
60  	  N  	  0.067  	  0.364
61  	  N  	  0.066  	  0.364
62  	  N  	  0.065  	  0.364
63  	  N  	  0.063  	  0.364
64  	  N  	  0.062  	  0.364
65  	  N  	  0.062  	  0.364
66  	  N  	  0.061  	  0.364
67  	  N  	  0.060  	  0.364
68  	  N  	  0.059  	  0.364
69  	  N  	  0.058  	  0.364
70  	  N  	  0.057  	  0.364
71  	  N  	  0.056  	  0.364
72  	  N  	  0.056  	  0.364
73  	  N  	  0.055  	  0.364
74  	  N  	  0.054  	  0.364
75  	  N  	  0.053  	  0.364
76  	  N  	  0.053  	  0.364
77  	  N  	  0.052  	  0.364
78  	  N  	  0.051  	  0.364
79  	  N  	  0.051  	  0.364
80  	  N  	  0.050  	  0.364
81  	  N  	  0.049  	  0.364
82  	  N  	  0.049  	  0.364
83  	  N  	  0.048  	  0.364
84  	  N  	  0.048  	  0.364
85  	  N  	  0.047  	  0.364
86  	  N  	  0.047  	  0.364
87  	  N  	  0.046  	  0.364
88  	  N  	  0.045  	  0.364
89  	  N  	  0.045  	  0.364
90  	  N  	  0.044  	  0.364
91  	  N  	  0.044  	  0.364
92  	  N  	  0.043  	  0.364
93  	  N  	  0.043  	  0.364
94  	  N  	  0.043  	  0.364
95  	  N  	  0.042  	  0.364
96  	  N  	  0.042  	  0.364
97  	  N  	  0.041  	  0.364
98  	  N  	  0.041  	  0.364
99  	  N  	  0.040  	  0.364
100  	  N  	  0.040  	  0.364
