Query 16: find all descriptions of file handling in operating systems based on multiple processes and message passing

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  R  	  0.077  	  0.059
14  	  N  	  0.071  	  0.059
15  	  N  	  0.067  	  0.059
16  	  N  	  0.062  	  0.059
17  	  N  	  0.059  	  0.059
18  	  N  	  0.056  	  0.059
19  	  N  	  0.053  	  0.059
20  	  N  	  0.050  	  0.059
21  	  N  	  0.048  	  0.059
22  	  N  	  0.045  	  0.059
23  	  N  	  0.043  	  0.059
24  	  N  	  0.042  	  0.059
25  	  N  	  0.040  	  0.059
26  	  N  	  0.038  	  0.059
27  	  N  	  0.037  	  0.059
28  	  N  	  0.036  	  0.059
29  	  N  	  0.034  	  0.059
30  	  N  	  0.033  	  0.059
31  	  N  	  0.032  	  0.059
32  	  N  	  0.031  	  0.059
33  	  N  	  0.030  	  0.059
34  	  R  	  0.059  	  0.118
35  	  N  	  0.057  	  0.118
36  	  N  	  0.056  	  0.118
37  	  N  	  0.054  	  0.118
38  	  N  	  0.053  	  0.118
39  	  N  	  0.051  	  0.118
40  	  N  	  0.050  	  0.118
41  	  N  	  0.049  	  0.118
42  	  N  	  0.048  	  0.118
43  	  N  	  0.047  	  0.118
44  	  N  	  0.045  	  0.118
45  	  N  	  0.044  	  0.118
46  	  N  	  0.043  	  0.118
47  	  N  	  0.043  	  0.118
48  	  N  	  0.042  	  0.118
49  	  R  	  0.061  	  0.176
50  	  N  	  0.060  	  0.176
51  	  N  	  0.059  	  0.176
52  	  N  	  0.058  	  0.176
53  	  N  	  0.057  	  0.176
54  	  N  	  0.056  	  0.176
55  	  N  	  0.055  	  0.176
56  	  N  	  0.054  	  0.176
57  	  N  	  0.053  	  0.176
58  	  N  	  0.052  	  0.176
59  	  N  	  0.051  	  0.176
60  	  N  	  0.050  	  0.176
61  	  N  	  0.049  	  0.176
62  	  N  	  0.048  	  0.176
63  	  N  	  0.048  	  0.176
64  	  N  	  0.047  	  0.176
65  	  N  	  0.046  	  0.176
66  	  N  	  0.045  	  0.176
67  	  N  	  0.045  	  0.176
68  	  N  	  0.044  	  0.176
69  	  N  	  0.043  	  0.176
70  	  N  	  0.043  	  0.176
71  	  N  	  0.042  	  0.176
72  	  N  	  0.042  	  0.176
73  	  N  	  0.041  	  0.176
74  	  N  	  0.041  	  0.176
75  	  N  	  0.040  	  0.176
76  	  N  	  0.039  	  0.176
77  	  N  	  0.039  	  0.176
78  	  N  	  0.038  	  0.176
79  	  N  	  0.038  	  0.176
80  	  N  	  0.037  	  0.176
81  	  N  	  0.037  	  0.176
82  	  N  	  0.037  	  0.176
83  	  R  	  0.048  	  0.235
84  	  N  	  0.048  	  0.235
85  	  N  	  0.047  	  0.235
86  	  N  	  0.047  	  0.235
87  	  N  	  0.046  	  0.235
88  	  N  	  0.045  	  0.235
89  	  N  	  0.045  	  0.235
90  	  N  	  0.044  	  0.235
91  	  N  	  0.044  	  0.235
92  	  N  	  0.043  	  0.235
93  	  N  	  0.043  	  0.235
94  	  N  	  0.043  	  0.235
95  	  N  	  0.042  	  0.235
96  	  N  	  0.042  	  0.235
97  	  N  	  0.041  	  0.235
98  	  N  	  0.041  	  0.235
99  	  N  	  0.040  	  0.235
100  	  N  	  0.040  	  0.235
