Query 24: applied stochastic processes

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  R  	  0.200  	  0.077
06  	  N  	  0.167  	  0.077
07  	  N  	  0.143  	  0.077
08  	  N  	  0.125  	  0.077
09  	  N  	  0.111  	  0.077
10  	  N  	  0.100  	  0.077
11  	  N  	  0.091  	  0.077
12  	  N  	  0.083  	  0.077
13  	  N  	  0.077  	  0.077
14  	  N  	  0.071  	  0.077
15  	  N  	  0.067  	  0.077
16  	  N  	  0.062  	  0.077
17  	  N  	  0.059  	  0.077
18  	  N  	  0.056  	  0.077
19  	  N  	  0.053  	  0.077
20  	  N  	  0.050  	  0.077
21  	  N  	  0.048  	  0.077
22  	  N  	  0.045  	  0.077
23  	  N  	  0.043  	  0.077
24  	  N  	  0.042  	  0.077
25  	  N  	  0.040  	  0.077
26  	  N  	  0.038  	  0.077
27  	  N  	  0.037  	  0.077
28  	  N  	  0.036  	  0.077
29  	  N  	  0.034  	  0.077
30  	  N  	  0.033  	  0.077
31  	  N  	  0.032  	  0.077
32  	  N  	  0.031  	  0.077
33  	  N  	  0.030  	  0.077
34  	  N  	  0.029  	  0.077
35  	  N  	  0.029  	  0.077
36  	  N  	  0.028  	  0.077
37  	  N  	  0.027  	  0.077
38  	  N  	  0.026  	  0.077
39  	  N  	  0.026  	  0.077
40  	  N  	  0.025  	  0.077
41  	  N  	  0.024  	  0.077
42  	  N  	  0.024  	  0.077
43  	  N  	  0.023  	  0.077
44  	  N  	  0.023  	  0.077
45  	  N  	  0.022  	  0.077
46  	  N  	  0.022  	  0.077
47  	  N  	  0.021  	  0.077
48  	  N  	  0.021  	  0.077
49  	  R  	  0.041  	  0.154
50  	  N  	  0.040  	  0.154
51  	  N  	  0.039  	  0.154
52  	  N  	  0.038  	  0.154
53  	  N  	  0.038  	  0.154
54  	  N  	  0.037  	  0.154
55  	  N  	  0.036  	  0.154
56  	  N  	  0.036  	  0.154
57  	  N  	  0.035  	  0.154
58  	  N  	  0.034  	  0.154
59  	  N  	  0.034  	  0.154
60  	  N  	  0.033  	  0.154
61  	  N  	  0.033  	  0.154
62  	  N  	  0.032  	  0.154
63  	  N  	  0.032  	  0.154
64  	  N  	  0.031  	  0.154
65  	  N  	  0.031  	  0.154
66  	  N  	  0.030  	  0.154
67  	  N  	  0.030  	  0.154
68  	  N  	  0.029  	  0.154
69  	  N  	  0.029  	  0.154
70  	  N  	  0.029  	  0.154
71  	  N  	  0.028  	  0.154
72  	  N  	  0.028  	  0.154
73  	  N  	  0.027  	  0.154
74  	  N  	  0.027  	  0.154
75  	  N  	  0.027  	  0.154
76  	  N  	  0.026  	  0.154
77  	  N  	  0.026  	  0.154
78  	  N  	  0.026  	  0.154
79  	  N  	  0.025  	  0.154
80  	  N  	  0.025  	  0.154
81  	  N  	  0.025  	  0.154
82  	  N  	  0.024  	  0.154
83  	  N  	  0.024  	  0.154
84  	  N  	  0.024  	  0.154
85  	  N  	  0.024  	  0.154
86  	  N  	  0.023  	  0.154
87  	  N  	  0.023  	  0.154
88  	  N  	  0.023  	  0.154
89  	  N  	  0.022  	  0.154
90  	  N  	  0.022  	  0.154
91  	  N  	  0.022  	  0.154
92  	  N  	  0.022  	  0.154
93  	  N  	  0.022  	  0.154
94  	  N  	  0.021  	  0.154
95  	  N  	  0.021  	  0.154
96  	  N  	  0.021  	  0.154
97  	  N  	  0.021  	  0.154
98  	  N  	  0.020  	  0.154
99  	  N  	  0.020  	  0.154
100  	  N  	  0.020  	  0.154
