Query 24: applied stioashtcc processes

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  N  	  0.000  	  0.000
17  	  N  	  0.000  	  0.000
18  	  N  	  0.000  	  0.000
19  	  N  	  0.000  	  0.000
20  	  N  	  0.000  	  0.000
21  	  N  	  0.000  	  0.000
22  	  N  	  0.000  	  0.000
23  	  N  	  0.000  	  0.000
24  	  N  	  0.000  	  0.000
25  	  N  	  0.000  	  0.000
26  	  N  	  0.000  	  0.000
27  	  N  	  0.000  	  0.000
28  	  N  	  0.000  	  0.000
29  	  N  	  0.000  	  0.000
30  	  N  	  0.000  	  0.000
31  	  N  	  0.000  	  0.000
32  	  N  	  0.000  	  0.000
33  	  N  	  0.000  	  0.000
34  	  N  	  0.000  	  0.000
35  	  N  	  0.000  	  0.000
36  	  N  	  0.000  	  0.000
37  	  N  	  0.000  	  0.000
38  	  N  	  0.000  	  0.000
39  	  N  	  0.000  	  0.000
40  	  N  	  0.000  	  0.000
41  	  N  	  0.000  	  0.000
42  	  N  	  0.000  	  0.000
43  	  N  	  0.000  	  0.000
44  	  N  	  0.000  	  0.000
45  	  N  	  0.000  	  0.000
46  	  N  	  0.000  	  0.000
47  	  N  	  0.000  	  0.000
48  	  N  	  0.000  	  0.000
49  	  R  	  0.020  	  0.077
50  	  N  	  0.020  	  0.077
51  	  N  	  0.020  	  0.077
52  	  N  	  0.019  	  0.077
53  	  N  	  0.019  	  0.077
54  	  N  	  0.019  	  0.077
55  	  N  	  0.018  	  0.077
56  	  N  	  0.018  	  0.077
57  	  N  	  0.018  	  0.077
58  	  N  	  0.017  	  0.077
59  	  N  	  0.017  	  0.077
60  	  N  	  0.017  	  0.077
61  	  N  	  0.016  	  0.077
62  	  N  	  0.016  	  0.077
63  	  N  	  0.016  	  0.077
64  	  N  	  0.016  	  0.077
65  	  N  	  0.015  	  0.077
66  	  N  	  0.015  	  0.077
67  	  N  	  0.015  	  0.077
68  	  N  	  0.015  	  0.077
69  	  N  	  0.014  	  0.077
70  	  N  	  0.014  	  0.077
71  	  N  	  0.014  	  0.077
72  	  N  	  0.014  	  0.077
73  	  N  	  0.014  	  0.077
74  	  N  	  0.014  	  0.077
75  	  N  	  0.013  	  0.077
76  	  N  	  0.013  	  0.077
77  	  N  	  0.013  	  0.077
78  	  N  	  0.013  	  0.077
79  	  N  	  0.013  	  0.077
80  	  N  	  0.013  	  0.077
81  	  N  	  0.012  	  0.077
82  	  N  	  0.012  	  0.077
83  	  N  	  0.012  	  0.077
84  	  N  	  0.012  	  0.077
85  	  N  	  0.012  	  0.077
86  	  N  	  0.012  	  0.077
87  	  N  	  0.011  	  0.077
88  	  N  	  0.011  	  0.077
89  	  N  	  0.011  	  0.077
90  	  N  	  0.011  	  0.077
91  	  N  	  0.011  	  0.077
92  	  N  	  0.011  	  0.077
93  	  N  	  0.011  	  0.077
94  	  N  	  0.011  	  0.077
95  	  N  	  0.011  	  0.077
96  	  N  	  0.010  	  0.077
97  	  N  	  0.010  	  0.077
98  	  N  	  0.010  	  0.077
99  	  N  	  0.010  	  0.077
100  	  N  	  0.010  	  0.077
